Name,Abbreviation,ISSN (Electronic),ISSN (Print),ISSN (Undetermined),ISSN (Linking),Primary ISSN,2020 JIF
Minerva dental and oral science,Minerva Dent Oral Sci,2724-6337,2724-6329,,2724-6329,2724-6329,NA
"International journal of oral implantology (Berlin, Germany)",Int J Oral Implantol (Berl),2631-6439,2631-6420,,2631-6420,2631-6420,NA
"Journal of stomatology, oral and maxillofacial surgery",J Stomatol Oral Maxillofac Surg,2468-7855,2468-8509,,2468-7855,2468-7855,1.569
European endodontic journal,Eur Endod J,2548-0839,,,2548-0839,2548-0839,NA
JDR clinical and translational research,JDR Clin Trans Res,2380-0852,2380-0844,,2380-0844,2380-0844,NA
Clinical and experimental dental research,Clin Exp Dent Res,2057-4347,,,2057-4347,2057-4347,NA
International journal of implant dentistry,Int J Implant Dent,,,2198-4034,2198-4034,2198-4034,2.384
The international journal of esthetic dentistry,Int J Esthet Dent,,,2198-591X,,2198-591X,NA
Journal of oral & facial pain and headache,J Oral Facial Pain Headache,2333-0376,2333-0384,,,2333-0376,1.871
Swiss dental journal,Swiss Dent J,2296-6501,2296-6498,,2296-6498,2296-6498,NA
Journal of the World federation of orthodontists,J World Fed Orthod,,,2212-4438,2212-4438,2212-4438,NA
"Oral surgery, oral medicine, oral pathology and oral radiology",Oral Surg Oral Med Oral Pathol Oral Radiol,2212-4411,2212-4403,,,2212-4411,2.589
Primary dental journal,Prim Dent J,2050-1692,2050-1684,,2050-1684,2050-1684,NA
Clinical advances in periodontics,Clin Adv Periodontics,2163-0097,2573-8046,,2163-0097,2163-0097,NA
Dental press journal of orthodontics,Dental Press J Orthod,2177-6709,2176-9451,,2176-9451,2176-9451,NA
Molecular oral microbiology,Mol Oral Microbiol,2041-1014,2041-1006,,2041-1006,2041-1006,3.563
International journal of oral science,Int J Oral Sci,2049-3169,1674-2818,,1674-2818,1674-2818,6.344
Journal of prosthodontic research,J Prosthodont Res,2212-4632,1883-1958,,1883-1958,1883-1958,4.642
Oral and maxillofacial surgery,Oral Maxillofac Surg,1865-1569,1865-1550,,1865-1550,1865-1550,NA
European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Eur Arch Paediatr Dent,1996-9805,1818-6300,,1818-6300,1818-6300,NA
Head & face medicine,Head Face Med,,,1746-160X,1746-160X,1746-160X,2.151
Brazilian oral research,Braz Oral Res,1807-3107,1806-8324,,1806-8324,1806-8324,NA
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiène dentaire : JCHD,Can J Dent Hyg,1712-1728,1712-171X,,1712-171X,1712-171X,NA
Journal of oral biosciences,J Oral Biosci,1880-3865,1349-0079,,1349-0079,1349-0079,NA
"Medicina oral, patología oral y cirugía bucal",Med Oral Patol Oral Cir Bucal,1698-6946,1698-4447,,1698-4447,1698-4447,2.047
International journal of dental hygiene,Int J Dent Hyg,1601-5037,1601-5029,,1601-5029,1601-5029,2.477
International orthodontics,Int Orthod,1879-680X,1761-7227,,1761-7727,1761-7727,NA
Journal of applied oral science : revista FOB,J Appl Oral Sci,1678-7765,1678-7757,,1678-7757,1678-7757,2.698
"Journal of dentistry for children (Chicago, Ill.)",J Dent Child (Chic),1935-5068,1551-8949,,1551-8949,1551-8949,NA
Oral health & preventive dentistry,Oral Health Prev Dent,1757-9996,1602-1622,,1602-1622,1602-1622,1.256
Dental and medical problems,Dent Med Probl,2300-9020,1644-387X,,1644-387X,1644-387X,NA
Orthodontics & craniofacial research,Orthod Craniofac Res,1601-6343,1601-6335,,1601-6335,1601-6335,1.826
BMC oral health,BMC Oral Health,,,1472-6831,1472-6831,1472-6831,2.757
Dental traumatology : official publication of International Association for Dental Traumatology,Dent Traumatol,1600-9657,1600-4469,,1600-4469,1600-4469,3.333
Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],J Esthet Restor Dent,1708-8240,1496-4155,,1496-4155,1496-4155,2.843
The journal of evidence-based dental practice,J Evid Based Dent Pract,1532-3390,1532-3382,,1532-3382,1532-3382,5.267
Journal of Indian Prosthodontic Society,J Indian Prosthodont Soc,1998-4057,0972-4052,,0972-4052,0972-4052,NA
Odontology,Odontology,1618-1255,1618-1247,,1618-1247,1618-1247,2.634
European journal of paediatric dentistry,Eur J Paediatr Dent,2035-648X,1591-996X,,1591-996X,1591-996X,2.231
Journal of orthodontics,J Orthod,1465-3133,1465-3125,,1465-3125,1465-3125,NA
Progress in orthodontics,Prog Orthod,2196-1042,1723-7785,,1723-7785,1723-7785,2.75
Clinical implant dentistry and related research,Clin Implant Dent Relat Res,1708-8208,1523-0899,,1523-0899,1523-0899,3.932
The journal of adhesive dentistry,J Adhes Dent,1757-9988,1461-5185,,1461-5185,1461-5185,2.359
The journal of contemporary dental practice,J Contemp Dent Pract,1526-3711,,,1526-3711,1526-3711,NA
Stomatologija,Stomatologija,1822-301X,1392-8589,,1392-8589,1392-8589,NA
Australian endodontic journal : the journal of the Australian Society of Endodontology Inc,Aust Endod J,1747-4477,1329-1947,,1329-1947,1329-1947,1.659
The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA),Chin J Dent Res,1867-5646,1462-6446,,1462-6446,1462-6446,NA
Evidence-based dentistry,Evid Based Dent,1476-5446,1462-0049,,1462-0049,1462-0049,NA
International journal of computerized dentistry,Int J Comput Dent,,1463-4201,,1463-4201,1463-4201,1.883
Journal of oral science,J Oral Sci,1880-4926,1343-4934,,1343-4934,1343-4934,1.556
Clinical oral investigations,Clin Oral Investig,1436-3771,1432-6981,,1432-6981,1432-6981,3.573
European journal of dental education : official journal of the Association for Dental Education in Europe,Eur J Dent Educ,1600-0579,1396-5883,,1396-5883,1396-5883,2.355
Journal of orofacial orthopedics = Fortschritte der Kieferorthopädie : Organ/official journal Deutsche Gesellschaft für Kieferorthopädie,J Orofac Orthop,1615-6714,1434-5293,,1434-5293,1434-5293,1.938
Journal of the history of dentistry,J Hist Dent,,,1089-6287,1089-6287,1089-6287,NA
"Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",Compend Contin Educ Dent,2158-1797,1548-8578,,1548-8578,1548-8578,NA
European journal of oral sciences,Eur J Oral Sci,1600-0722,0909-8836,,0909-8836,0909-8836,2.612
Oral diseases,Oral Dis,1601-0825,1354-523X,,1354-523X,1354-523X,3.511
Atlas of the oral and maxillofacial surgery clinics of North America,Atlas Oral Maxillofac Surg Clin North Am,1558-4275,1061-3315,,1061-3315,1061-3315,NA
Periodontology 2000,Periodontol 2000,1600-0757,0906-6713,,0906-6713,0906-6713,7.589
The European journal of prosthodontics and restorative dentistry,Eur J Prosthodont Restor Dent,,0965-7452,,0965-7452,0965-7452,NA
Journal of prosthodontics : official journal of the American College of Prosthodontists,J Prosthodont,1532-849X,1059-941X,,1059-941X,1059-941X,2.752
Shanghai kou qiang yi xue = Shanghai journal of stomatology,Shanghai Kou Qiang Yi Xue,,1006-7248,,1006-7248,1006-7248,NA
The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,Cleft Palate Craniofac J,1545-1569,1055-6656,,1055-6656,1055-6656,1.433
International journal of paediatric dentistry,Int J Paediatr Dent,1365-263X,0960-7439,,0960-7439,0960-7439,NA
Brazilian dental journal,Braz Dent J,1806-4760,0103-6440,,0103-6440,0103-6440,NA
Clinical oral implants research,Clin Oral Implants Res,1600-0501,0905-7161,,0905-7161,0905-7161,5.977
The Journal of clinical pediatric dentistry,J Clin Pediatr Dent,1557-5268,1053-4628,,1053-4628,1053-4628,1.065
The Journal of craniofacial surgery,J Craniofac Surg,1536-3732,1049-2275,,1049-2275,1049-2275,NA
Indian journal of dental research : official publication of Indian Society for Dental Research,Indian J Dent Res,1998-3603,0970-9290,,0970-9290,0970-9290,NA
Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,J Oral Pathol Med,1600-0714,0904-2512,,0904-2512,0904-2512,4.253
Oral and maxillofacial surgery clinics of North America,Oral Maxillofac Surg Clin North Am,1558-1365,1042-3699,,1042-3699,1042-3699,2.802
American journal of dentistry,Am J Dent,,0894-8275,,0894-8275,0894-8275,1.522
The International journal of prosthodontics,Int J Prosthodont,1942-4426,0893-2174,,0893-2174,0893-2174,1.681
The Journal of clinical dentistry,J Clin Dent,,0895-8831,,0895-8831,0895-8831,NA
Journal of dental hygiene : JDH,J Dent Hyg,1553-0205,1043-254X,,1043-254X,1043-254X,NA
Journal of veterinary dentistry,J Vet Dent,2470-4083,0898-7564,,0898-7564,0898-7564,NA
Advances in dental research,Adv Dent Res,1544-0737,0895-9374,,0895-9374,0895-9374,NA
Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,J Craniomaxillofac Surg,1878-4119,1010-5182,,1010-5182,1010-5182,NA
Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,Zhonghua Kou Qiang Yi Xue Za Zhi,,1002-0098,,1002-0098,1002-0098,NA
"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",Am J Orthod Dentofacial Orthop,1097-6752,0889-5406,,0889-5406,0889-5406,2.65
International journal of oral and maxillofacial surgery,Int J Oral Maxillofac Surg,1399-0020,0901-5027,,0901-5027,0901-5027,2.789
The International journal of oral & maxillofacial implants,Int J Oral Maxillofac Implants,1942-4434,0882-2786,,0882-2786,0882-2786,2.804
Cranio : the journal of craniomandibular practice,Cranio,2151-0903,0886-9634,,0886-9634,0886-9634,2.02
Dental materials : official publication of the Academy of Dental Materials,Dent Mater,1879-0097,0109-5641,,0109-5641,0109-5641,5.304
"Quintessence international (Berlin, Germany : 1985)",Quintessence Int,1936-7163,0033-6572,,0033-6572,0033-6572,1.677
Acta odontológica latinoamericana : AOL,Acta Odontol Latinoam,1852-4834,0326-4815,,0326-4815,0326-4815,NA
The British journal of oral & maxillofacial surgery,Br J Oral Maxillofac Surg,1532-1940,0266-4356,,0266-4356,0266-4356,1.651
Community dental health,Community Dent Health,,0265-539X,,0265-539X,0265-539X,1.349
Facial plastic surgery : FPS,Facial Plast Surg,1098-8793,0736-6825,,0736-6825,0736-6825,NA
Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,Hua Xi Kou Qiang Yi Xue Za Zhi,2618-0456,1000-1182,,1000-1182,1000-1182,NA
The Journal of forensic odonto-stomatology,J Forensic Odontostomatol,2219-6749,0258-414X,,0258-414X,0258-414X,NA
Journal of the Indian Society of Pedodontics and Preventive Dentistry,J Indian Soc Pedod Prev Dent,1998-3905,0970-4388,,0970-4388,0970-4388,NA
Dental materials journal,Dent Mater J,1881-1361,0287-4547,,0287-4547,0287-4547,2.102
Gerodontology,Gerodontology,1741-2358,0734-0664,,0734-0664,0734-0664,2.98
Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,J Oral Maxillofac Surg,1531-5053,0278-2391,,0278-2391,0278-2391,1.895
The International journal of periodontics & restorative dentistry,Int J Periodontics Restorative Dent,1945-3388,0198-7569,,0198-7569,0198-7569,1.84
"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Spec Care Dentist,1754-4505,0275-1879,,0275-1879,0275-1879,NA
International endodontic journal,Int Endod J,1365-2591,0143-2885,,0143-2885,0143-2885,5.264
European journal of orthodontics,Eur J Orthod,1460-2210,0141-5387,,0141-5387,0141-5387,3.075
Journal (Canadian Dental Association),J Can Dent Assoc,1488-2159,0709-8936,,0709-8936,0709-8936,1.316
Pediatric dentistry,Pediatr Dent,1942-5473,0164-1263,,0164-1263,0164-1263,1.874
The Journal of oral implantology,J Oral Implantol,1548-1336,0160-6972,,0160-6972,0160-6972,1.779
General dentistry,Gen Dent,,0363-6771,,0363-6771,0363-6771,NA
Operative dentistry,Oper Dent,1559-2863,0361-7734,,0361-7734,0361-7734,2.44
Journal of endodontics,J Endod,1878-3554,0099-2399,,0099-2399,0099-2399,4.171
Journal of clinical periodontology,J Clin Periodontol,1600-051X,0303-6979,,0303-6979,0303-6979,8.728
Journal of oral rehabilitation,J Oral Rehabil,1365-2842,0305-182X,,0305-182X,0305-182X,3.837
Community dentistry and oral epidemiology,Community Dent Oral Epidemiol,1600-0528,0301-5661,,0301-5661,0301-5661,3.383
Dento maxillo facial radiology,Dentomaxillofac Radiol,1476-542X,0250-832X,,0250-832X,0250-832X,2.419
Journal of dentistry,J Dent,1879-176X,0300-5712,,0300-5712,0300-5712,4.379
Monographs in oral science,Monogr Oral Sci,1662-3843,0077-0892,,0077-0892,0077-0892,NA
Journal of clinical orthodontics : JCO,J Clin Orthod,1945-225X,0022-3875,,0022-3875,0022-3875,NA
Journal of periodontology,J Periodontol,1943-3670,0022-3492,,0022-3492,0022-3492,6.993
Caries research,Caries Res,1421-976X,0008-6568,,0008-6568,0008-6568,4.056
Anesthesia progress,Anesth Prog,1878-7177,0003-3006,,0003-3006,0003-3006,NA
Journal of periodontal research,J Periodontal Res,1600-0765,0022-3484,,0022-3484,0022-3484,4.419
Journal of public health dentistry,J Public Health Dent,1752-7325,0022-4006,,0022-4006,0022-4006,1.821
Nederlands tijdschrift voor tandheelkunde,Ned Tijdschr Tandheelkd,,0028-2200,,0028-2200,0028-2200,NA
The Bulletin of Tokyo Dental College,Bull Tokyo Dent Coll,,0040-8891,,0040-8891,0040-8891,NA
Archives of oral biology,Arch Oral Biol,1879-1506,0003-9969,,0003-9969,0003-9969,2.633
Dental clinics of North America,Dent Clin North Am,1558-0512,0011-8532,,0011-8532,0011-8532,NA
Australian dental journal,Aust Dent J,1834-7819,0045-0421,,0045-0421,0045-0421,2.291
The Journal of prosthetic dentistry,J Prosthet Dent,1097-6841,0022-3913,,0022-3913,0022-3913,3.426
International dental journal,Int Dent J,1875-595X,0020-6539,,0020-6539,0020-6539,2.512
Acta odontologica Scandinavica,Acta Odontol Scand,1502-3850,0001-6357,,0001-6357,0001-6357,2.331
Journal of the American Dental Association (1939),J Am Dent Assoc,1943-4723,0002-8177,,0002-8177,0002-8177,3.634
Stomatologii︠a︡,Stomatologiia (Mosk),2309-5318,0039-1735,,0039-1735,0039-1735,NA
Journal of dental education,J Dent Educ,1930-7837,0022-0337,,0022-0337,0022-0337,2.264
The Angle orthodontist,Angle Orthod,1945-7103,0003-3219,,0003-3219,0003-3219,2.079
L' Orthodontie française,Orthod Fr,1954-3395,0078-6608,,0078-6608,0078-6608,NA
Journal of dental research,J Dent Res,1544-0591,0022-0345,,0022-0345,0022-0345,6.116
British dental journal,Br Dent J,1476-5373,0007-0610,,0007-0610,0007-0610,1.626